2018-04-28 16:21:24,848 INFO  [stdout] (default task-2)         country0_.id=?
2018-04-28 16:21:24,848 INFO  [stdout] (default task-4) Hibernate: 
2018-04-28 16:21:24,848 INFO  [stdout] (default task-4)     select
2018-04-28 16:21:24,849 INFO  [stdout] (default task-4)         state0_.id as id1_12_0_,
2018-04-28 16:21:24,849 INFO  [stdout] (default task-4)         state0_.created_at as created_2_12_0_,
2018-04-28 16:21:24,849 INFO  [stdout] (default task-4)         state0_.updated_at as updated_3_12_0_,
2018-04-28 16:21:24,849 INFO  [stdout] (default task-4)         state0_.Abbrev as Abbrev4_12_0_,
2018-04-28 16:21:24,849 INFO  [stdout] (default task-4)         state0_.country_id as country_6_12_0_,
2018-04-28 16:21:24,849 INFO  [stdout] (default task-4)         state0_.description as descript5_12_0_,
2018-04-28 16:21:24,850 INFO  [stdout] (default task-4)         country1_.id as id1_3_1_,
2018-04-28 16:21:24,850 INFO  [stdout] (default task-4)         country1_.created_at as created_2_3_1_,
2018-04-28 16:21:24,850 INFO  [stdout] (default task-4)         country1_.updated_at as updated_3_3_1_,
2018-04-28 16:21:24,850 INFO  [stdout] (default task-4)         country1_.description as descript4_3_1_ 
2018-04-28 16:21:24,850 INFO  [stdout] (default task-4)     from
2018-04-28 16:21:24,850 INFO  [stdout] (default task-4)         states state0_ 
2018-04-28 16:21:24,850 INFO  [stdout] (default task-4)     inner join
2018-04-28 16:21:24,851 INFO  [stdout] (default task-4)         countries country1_ 
2018-04-28 16:21:24,851 INFO  [stdout] (default task-4)             on state0_.country_id=country1_.id 
2018-04-28 16:21:24,851 INFO  [stdout] (default task-4)     where
2018-04-28 16:21:24,851 INFO  [stdout] (default task-4)         state0_.id=?
2018-04-28 16:21:24,854 INFO  [stdout] (default task-4) Hibernate: 
2018-04-28 16:21:24,856 INFO  [stdout] (default task-4)     select
2018-04-28 16:21:24,856 INFO  [stdout] (default task-4)         state0_.id as id1_12_0_,
2018-04-28 16:21:24,857 INFO  [stdout] (default task-4)         state0_.created_at as created_2_12_0_,
2018-04-28 16:21:24,857 INFO  [stdout] (default task-4)         state0_.updated_at as updated_3_12_0_,
2018-04-28 16:21:24,857 INFO  [stdout] (default task-4)         state0_.Abbrev as Abbrev4_12_0_,
2018-04-28 16:21:24,858 INFO  [stdout] (default task-4)         state0_.country_id as country_6_12_0_,
2018-04-28 16:21:24,858 INFO  [stdout] (default task-4)         state0_.description as descript5_12_0_,
2018-04-28 16:21:24,858 INFO  [stdout] (default task-4)         country1_.id as id1_3_1_,
2018-04-28 16:21:24,858 INFO  [stdout] (default task-4)         country1_.created_at as created_2_3_1_,
2018-04-28 16:21:24,858 INFO  [stdout] (default task-4)         country1_.updated_at as updated_3_3_1_,
2018-04-28 16:21:24,859 INFO  [stdout] (default task-4)         country1_.description as descript4_3_1_ 
2018-04-28 16:21:24,859 INFO  [stdout] (default task-4)     from
2018-04-28 16:21:24,859 INFO  [stdout] (default task-4)         states state0_ 
2018-04-28 16:21:24,860 INFO  [stdout] (default task-4)     inner join
2018-04-28 16:21:24,860 INFO  [stdout] (default task-4)         countries country1_ 
2018-04-28 16:21:24,860 INFO  [stdout] (default task-4)             on state0_.country_id=country1_.id 
2018-04-28 16:21:24,861 INFO  [stdout] (default task-4)     where
2018-04-28 16:21:24,861 INFO  [stdout] (default task-4)         state0_.id=?
2018-04-28 16:21:24,862 INFO  [stdout] (default task-4) Hibernate: 
2018-04-28 16:21:24,863 INFO  [stdout] (default task-4)     select
2018-04-28 16:21:24,863 INFO  [stdout] (default task-4)         state0_.id as id1_12_0_,
2018-04-28 16:21:24,863 INFO  [stdout] (default task-4)         state0_.created_at as created_2_12_0_,
2018-04-28 16:21:24,863 INFO  [stdout] (default task-4)         state0_.updated_at as updated_3_12_0_,
2018-04-28 16:21:24,863 INFO  [stdout] (default task-4)         state0_.Abbrev as Abbrev4_12_0_,
2018-04-28 16:21:24,864 INFO  [stdout] (default task-4)         state0_.country_id as country_6_12_0_,
2018-04-28 16:21:24,864 INFO  [stdout] (default task-4)         state0_.description as descript5_12_0_,
2018-04-28 16:21:24,865 INFO  [stdout] (default task-4)         country1_.id as id1_3_1_,
2018-04-28 16:21:24,865 INFO  [stdout] (default task-4)         country1_.created_at as created_2_3_1_,
2018-04-28 16:21:24,866 INFO  [stdout] (default task-4)         country1_.updated_at as updated_3_3_1_,
2018-04-28 16:21:24,866 INFO  [stdout] (default task-4)         country1_.description as descript4_3_1_ 
2018-04-28 16:21:24,866 INFO  [stdout] (default task-4)     from
2018-04-28 16:21:24,866 INFO  [stdout] (default task-4)         states state0_ 
2018-04-28 16:21:24,866 INFO  [stdout] (default task-4)     inner join
2018-04-28 16:21:24,867 INFO  [stdout] (default task-4)         countries country1_ 
2018-04-28 16:21:24,867 INFO  [stdout] (default task-4)             on state0_.country_id=country1_.id 
2018-04-28 16:21:24,867 INFO  [stdout] (default task-4)     where
2018-04-28 16:21:24,867 INFO  [stdout] (default task-4)         state0_.id=?
2018-04-28 16:24:15,725 INFO  [stdout] (default task-4) Hibernate: 
2018-04-28 16:24:15,726 INFO  [stdout] (default task-4)     select
2018-04-28 16:24:15,726 INFO  [stdout] (default task-4)         user0_.id as id1_13_,
2018-04-28 16:24:15,727 INFO  [stdout] (default task-4)         user0_.created_at as created_2_13_,
2018-04-28 16:24:15,727 INFO  [stdout] (default task-4)         user0_.updated_at as updated_3_13_,
2018-04-28 16:24:15,727 INFO  [stdout] (default task-4)         user0_.CPF as CPF4_13_,
2018-04-28 16:24:15,729 INFO  [stdout] (default task-4)         user0_.criminal_recors as criminal5_13_,
2018-04-28 16:24:15,729 INFO  [stdout] (default task-4)         user0_.date_of_birth as date_of_6_13_,
2018-04-28 16:24:15,730 INFO  [stdout] (default task-4)         user0_.email as email7_13_,
2018-04-28 16:24:15,730 INFO  [stdout] (default task-4)         user0_.fathers_name as fathers_8_13_,
2018-04-28 16:24:15,730 INFO  [stdout] (default task-4)         user0_.gender_id as gender_18_13_,
2018-04-28 16:24:15,730 INFO  [stdout] (default task-4)         user0_.mothers_name as mothers_9_13_,
2018-04-28 16:24:15,730 INFO  [stdout] (default task-4)         user0_.name as name10_13_,
2018-04-28 16:24:15,730 INFO  [stdout] (default task-4)         user0_.nationality as nationa11_13_,
2018-04-28 16:24:15,730 INFO  [stdout] (default task-4)         user0_.naturalness as natural12_13_,
2018-04-28 16:24:15,731 INFO  [stdout] (default task-4)         user0_.password as passwor13_13_,
2018-04-28 16:24:15,731 INFO  [stdout] (default task-4)         user0_.responding_process as respond14_13_,
2018-04-28 16:24:15,731 INFO  [stdout] (default task-4)         user0_.RG as RG15_13_,
2018-04-28 16:24:15,731 INFO  [stdout] (default task-4)         user0_.RG_issuing_body as RG_issu16_13_,
2018-04-28 16:24:15,731 INFO  [stdout] (default task-4)         user0_.rg_uf as rg_uf17_13_,
2018-04-28 16:24:15,731 INFO  [stdout] (default task-4)         user0_.role_id as role_id19_13_ 
2018-04-28 16:24:15,732 INFO  [stdout] (default task-4)     from
2018-04-28 16:24:15,732 INFO  [stdout] (default task-4)         users user0_ 
2018-04-28 16:24:15,732 INFO  [stdout] (default task-4)     where
2018-04-28 16:24:15,732 INFO  [stdout] (default task-4)         user0_.CPF=?
2018-04-28 16:24:18,283 INFO  [stdout] (default task-4) Hibernate: 
2018-04-28 16:24:18,283 INFO  [stdout] (default task-4)     select
2018-04-28 16:24:18,283 INFO  [stdout] (default task-4)         user0_.id as id1_13_,
2018-04-28 16:24:18,283 INFO  [stdout] (default task-4)         user0_.created_at as created_2_13_,
2018-04-28 16:24:18,284 INFO  [stdout] (default task-4)         user0_.updated_at as updated_3_13_,
2018-04-28 16:24:18,284 INFO  [stdout] (default task-4)         user0_.CPF as CPF4_13_,
2018-04-28 16:24:18,284 INFO  [stdout] (default task-4)         user0_.criminal_recors as criminal5_13_,
2018-04-28 16:24:18,284 INFO  [stdout] (default task-4)         user0_.date_of_birth as date_of_6_13_,
